		MRS broth		Tomato juice			Wheat flour hydrolyzate			Pineapple juice			Drosophila sp. Extract			Faecal extract						Bee Extract			Olive Extract			Cheese broth	MRS broth								
GeneSymbol	GeneName	WCFS1_MRS	LB16_MRS	TJ22	TJ20	TJ19	WFH19	WFH20	WFH1W	PJ16	PJ20	PJ1	DE12	DE12II	DE24	FEO3	FEO13	FEO17	FEV3	FEV11	FEV21	BEE1ST	BEE2ST	BEE3ST	OE1	OE2	OE3	CB5	FEV11_MRS	FEO3_MRS	DE12_MRS	CB5_MRS	OE1_MRS	WFH19_MRS	TJ22_MRS	PJ16_MRS	BEE1ST_MRS
gene:lp_0031	cspL	647.113	550.894	1476.2	814.103	1420.32	1088.23	1091.64	2425.75	2153.59	2270.34	2602.92	186.294	70.5429	1306.28	173.712	181.064	516.398	341.648	531.464	373.885	1163.32	1325.1	1674.82	1112.78	1881.75	1202.65	1629.84	1500.16	2456.49	3233.03	1602.31	1553.58	2052.62	2539.34	2202.7	2019.17
gene:lp_0032	lp_0032	274.073	240.658	602.741	364.984	635.999	491.807	401.568	888.826	561.268	904.521	899.477	116.496	31.9293	35.3621	54.314	117.903	244.357	162.14	173.698	124.119	596.646	607.735	712.979	480.95	645.33	562.428	207.901	595.751	1341.18	1152.15	601.557	754.624	1006.58	1338.42	880.186	852.035
gene:lp_0036	rrp1	106.862	319.24	182.472	369.452	178.557	431.297	345.336	476.26	273.795	249.755	268.762	52.8885	66.2226	89.9035	315.626	255.78	114.085	169.738	74.5208	74.4879	381.793	383.735	356.624	275.215	337.684	290.035	180.489	151.039	122.784	79.4672	260.786	80.7783	355.826	153.136	156.763	73.9773
gene:lp_0037	hpk1	234.367	431.075	290.261	411.216	294.095	661.134	328.773	498.902	365.261	309.416	313.057	39.9414	57.5735	118.817	440.409	280.861	132.389	342.211	104.497	94.7996	281.305	281.748	287.646	342.962	501.155	435.818	181.328	237.058	256.471	156.488	302.326	99.1691	298.093	278.108	216.959	149.859
gene:lp_0038	lp_0038	254.022	294.108	254.769	301.631	266.426	525.181	336.2	478.91	280.419	206.041	221.474	62.126	53.8935	150.009	168.524	263.221	157.314	171.548	134.4	122.931	248.53	238.645	257.152	323.267	533.382	466.294	248.693	317.659	319.466	210.867	397.162	133.479	176.119	231.05	195.716	171.821
gene:lp_0039	lp_0039	246.072	229.842	192.439	245.457	211.405	342.534	295.161	387.802	253.963	176.031	171.096	65.6931	77.612	37.2232	185.811	251.036	156.568	230.912	159.528	135.418	237.387	252.082	245.28	248.48	454.253	426.897	307.068	301.024	343.463	238.287	444.152	169.352	177.427	238.95	212.882	179.181
gene:lp_0041	lp_0041	412.787	468.233	337.961	434.612	349.567	655.747	347.072	510.718	288.166	399.78	522.994	36.7108	37.3013	136.508	404.36	155.833	134.91	449.708	140.651	129.846	349.428	365.593	451.766	470.405	518.886	546.651	120.915	238.429	165.695	354.293	194.635	124.444	206.119	233.369	304.538	165.061
gene:lp_0043	htrA	884.191	999.797	808.045	800.24	796.601	1404.94	775.054	1363.87	1418.8	861.164	906.282	168.992	261.504	245.686	798.952	357.589	402.244	754.404	449.614	382.539	774.666	789.076	896.813	1063.36	1191.13	1347.36	197.081	510.775	858.321	715.229	681.388	421.681	510.683	475.096	610.176	541.176
gene:lp_0045	rlmH	62.6165	152.101	73.4037	120.394	64.7881	193.196	157.68	100.529	40.7805	94.221	111.518	7.80105	8.66502	82.8798	58.1936	71.7098	135.249	134.123	137.059	141.083	118.025	119.019	86.287	36.584	57.8292	44.0273	92.9357	79.5939	32.1947	144.743	28.0875	56.0085	241.542	35.571	62.5542	27.6511
gene:lp_0046	lp_0046	14.3946	23.7658	0	25.8742	0	14.6147	92.1701	33.1036	6.73939	36.0408	30.5529	0	1.96932	55.2532	15.1546	0.380625	86.0598	0	71.9218	77.6163	64.5808	71.7358	58.8607	34.1998	23.8212	21.0369	0	32.1309	11.5975	31.9356	0.0767417	9.71853	19.7653	0	7.80052	11.263
